siteID,siteName,measure,date_from,date_to,activityLevel,value
01000,Belgium,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000493
01000,Belgium,SARS-CoV-2,2026-06-07,2027-06-21,High,0.001201
01000,Belgium,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.002607
10000,Antwerpen,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.001355
10000,Antwerpen,SARS-CoV-2,2026-06-07,2027-06-21,High,0.002242
10000,Antwerpen,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.003147
20002,Brabant Wallon,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.00078
20002,Brabant Wallon,SARS-CoV-2,2026-06-07,2027-06-21,High,0.001806
20002,Brabant Wallon,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.003455
50000,Hainaut,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000578
50000,Hainaut,SARS-CoV-2,2026-06-07,2027-06-21,High,0.001271
50000,Hainaut,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.001788
70000,Limburg,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000327
70000,Limburg,SARS-CoV-2,2026-06-07,2027-06-21,High,0.001741
70000,Limburg,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.00419
60000,Liège,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000261
60000,Liège,SARS-CoV-2,2026-06-07,2027-06-21,High,0.001058
60000,Liège,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.002559
80000,Luxembourg,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000438
80000,Luxembourg,SARS-CoV-2,2026-06-07,2027-06-21,High,0.003055
80000,Luxembourg,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.006547
90000,Namur,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000664
90000,Namur,SARS-CoV-2,2026-06-07,2027-06-21,High,0.001921
90000,Namur,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.003822
40000,Oost-Vlaanderen,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000909
40000,Oost-Vlaanderen,SARS-CoV-2,2026-06-07,2027-06-21,High,0.00268
40000,Oost-Vlaanderen,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.004165
20001,Vlaams-Brabant,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000559
20001,Vlaams-Brabant,SARS-CoV-2,2026-06-07,2027-06-21,High,0.001274
20001,Vlaams-Brabant,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.003284
30000,West-Vlaanderen,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000919
30000,West-Vlaanderen,SARS-CoV-2,2026-06-07,2027-06-21,High,0.003075
30000,West-Vlaanderen,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.004874
4000,Brussels-Capital region,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000977
4000,Brussels-Capital region,SARS-CoV-2,2026-06-07,2027-06-21,High,0.002024
4000,Brussels-Capital region,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.00335
2000,Flanders,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000924
2000,Flanders,SARS-CoV-2,2026-06-07,2027-06-21,High,0.001741
2000,Flanders,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.003154
3000,Wallonia,SARS-CoV-2,2026-06-07,2027-06-21,Medium,0.000437
3000,Wallonia,SARS-CoV-2,2026-06-07,2027-06-21,High,0.000899
3000,Wallonia,SARS-CoV-2,2026-06-07,2027-06-21,Very_high,0.001952
