"siteName";"date";"value";"value_load";"value_pmmv";"value_avg14d_past";"value_load_avg14d_past";"value_pmmv_avg14d_past"
"Belgium";2024-09-02;42.7132357562222;1039536542166.12;0.000514343703189264;NA;NA;NA
"Belgium";2024-09-03;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-04;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-05;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-06;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-07;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-08;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-09;17.5659557679164;1100009235381.54;0.000493468785771036;NA;NA;NA
"Belgium";2024-09-10;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-11;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-12;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-13;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-14;NA;NA;NA;NA;NA;NA
"Belgium";2024-09-15;NA;NA;NA;32.5842252862367;1132890794095.91;0.00058484045447684
"Belgium";2024-09-16;54.1215068690031;1334086767002.5;0.000892036683173816;33.3991017942924;1153930095869.94;0.000611818524475736
"Belgium";2024-09-17;NA;NA;NA;34.3554472286649;1172616596779.12;0.000638243747090057
"Belgium";2024-09-18;NA;NA;NA;35.453261589354;1188950296823.45;0.000664116122319803
"Belgium";2024-09-19;NA;NA;NA;36.6925448763598;1202931196002.93;0.000689435650164972
"Belgium";2024-09-20;NA;NA;NA;38.0732970896823;1214559294317.57;0.000714202330625566
"Belgium";2024-09-21;NA;NA;NA;39.5955182293215;1223834591767.36;0.000738416163701585
"Belgium";2024-09-22;NA;NA;NA;41.2592082952773;1230757088352.29;0.000762077149393027
"Belgium";2024-09-23;42.8381816597316;1163984975462.82;0.000816982722067175;43.0643672875498;1235326784072.39;0.000785185287699894
"Belgium";2024-09-24;NA;NA;NA;44.4142904059608;1237741472947.39;0.000802837901723584
"Belgium";2024-09-25;NA;NA;NA;45.3089776505103;1238001154977.3;0.000815034991464096
"Belgium";2024-09-26;NA;NA;NA;45.7484290211983;1236105830162.13;0.000821776556921431
"Belgium";2024-09-27;NA;NA;NA;45.7326445180248;1232055498501.86;0.000823062598095588
"Belgium";2024-09-28;NA;NA;NA;45.2616241409897;1225850159996.51;0.000818893114986568
"Belgium";2024-09-29;NA;NA;NA;44.3353678900932;1217489814646.07;0.000809268107594371
"Belgium";2024-09-30;34.7806171223903;1186871836265.11;0.000680909239718571;42.9538757653351;1206974462450.55;0.000794187575918997
"Belgium";2024-10-01;NA;NA;NA;41.6555343777155;1196225907059.77;0.000777277492984137
"Belgium";2024-10-02;NA;NA;NA;40.4403437272342;1185244148473.76;0.000758537858789794
"Belgium";2024-10-03;NA;NA;NA;39.3083038138913;1174029186692.49;0.000737968673335965
"Belgium";2024-10-04;NA;NA;NA;38.2594146376868;1162581021715.98;0.000715569936622652
"Belgium";2024-10-05;NA;NA;NA;37.2936761986207;1150899653544.23;0.000691341648649855
"Belgium";2024-10-06;NA;NA;NA;36.4110884966929;1138985082177.23;0.000665283809417573
"Belgium";2024-10-07;31.646064152681;993916131591.402;0.000426559255182441;35.6116515319036;1126837307614.99;0.000637396418925806
"Belgium";2024-10-08;NA;NA;NA;34.7786215202555;1114453469462.8;0.000610719821089814
"Belgium";2024-10-09;NA;NA;NA;33.9119984617486;1101833567720.67;0.000585254015909598
"Belgium";2024-10-10;NA;NA;NA;33.0117823563829;1088977602388.59;0.000560999003385157
"Belgium";2024-10-11;NA;NA;NA;32.0779732041583;1075885573466.58;0.000537954783516492
"Belgium";2024-10-12;NA;NA;NA;31.110571005075;1062557480954.62;0.000516121356303602
"Belgium";2024-10-13;NA;NA;NA;30.1095757591329;1048993324852.71;0.000495498721746487
"Belgium";2024-10-14;20.2963810231777;993668760579.237;0.000409143453099814;29.074987466332;1035193105160.86;0.000476086879845147
"Belgium";2024-10-15;NA;NA;NA;28.101652079755;1029281481824.6;0.000458565054390445
"Belgium";2024-10-16;NA;NA;NA;27.1895695994017;1031258454843.91;0.000442933245382382
"Belgium";2024-10-17;NA;NA;NA;26.3387400252722;1041124024218.81;0.000429191452820957
"Belgium";2024-10-18;NA;NA;NA;25.5491633573666;1058878189949.28;0.000417339676706171
"Belgium";2024-10-19;NA;NA;NA;24.8208395956848;1084520952035.34;0.000407377917038022
"Belgium";2024-10-20;NA;NA;NA;24.1537687402268;1118052310476.98;0.000399306173816512
"Belgium";2024-10-21;23.1646128634023;1573795498752.48;0.000340015080334238;23.5479507909926;1159472265274.2;0.000393124447041641
"Belgium";2024-10-22;NA;NA;NA;23.064339417767;1190800670674.23;0.000386436212888921
"Belgium";2024-10-23;NA;NA;NA;22.70293462055;1212037526677.08;0.000379241471358353
"Belgium";2024-10-24;NA;NA;NA;22.4637363993416;1223182833282.74;0.000371540222449937
"Belgium";2024-10-25;NA;NA;NA;22.3467447541418;1224236590491.21;0.000363332466163673
"Belgium";2024-10-26;NA;NA;NA;22.3519596849506;1215198798302.5;0.000354618202499561
"Belgium";2024-10-27;NA;NA;NA;22.479381191768;1196069456716.59;0.000345397431457601
"Belgium";2024-10-28;23.7911741827414;584576286815.996;0.000272961555222499;22.7290092745939;1166848565733.51;0.000335670153037793
"Belgium";2024-10-29;NA;NA;NA;22.8848599405878;1130251874924.18;0.000325634529501937
"Belgium";2024-10-30;NA;NA;NA;22.9469331897495;1086279384288.62;0.000315290560850034
"Belgium";2024-10-31;NA;NA;NA;22.9152290220791;1034931093826.82;0.000304638247082083
"Belgium";2024-11-01;NA;NA;NA;22.7897474375765;976207003538.792;0.000293677588198084
"Belgium";2024-11-02;NA;NA;NA;22.5704884362418;910107113424.524;0.000282408584198038
"Belgium";2024-11-03;NA;NA;NA;22.257452018075;836631423484.019;0.000270831235081944
"Belgium";2024-11-04;17.4692191734168;441874642018.121;0.000173615361084259;21.850638183076;755779933717.279;0.000258945540849803
"Belgium";2024-11-05;NA;NA;NA;21.4108226548795;685206973900.412;0.000248098685678307
"Belgium";2024-11-06;NA;NA;NA;20.9380054334855;624912544033.419;0.000238290669567458
"Belgium";2024-11-07;NA;NA;NA;20.432186518894;574896644116.299;0.000229521492517255
