"date";"siteName";"labName";"flowRate";"popServ";"PMMV";"measure";"value";"value_load";"value_pmmv"
2024-09-02;"Aalst";"Sciensano Foodborne Pathogens";761.88;98357;61367.6;"SARS";23.88;443942643228.24;0.000389130420612832
2024-09-02;"Antwerpen-Noord";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";769.5;73974;32419.42;"SARS";19.65;490572633628.031;0.000606118184717678
2024-09-02;"Antwerpen-Zuid";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";1779.08;178677;40202.1;"SARS";24.54;586425201229.033;0.000610415873797637
2024-09-02;"Arlon";"Sciensano Foodborne Pathogens";405.83;19440;77968.8;"SARS";18.615;932657462962.963;0.000238749345892203
2024-09-02;"Basse Wavre (Dyle)";"Sciensano Foodborne Pathogens";670.54;78290;70686.25;"SARS";NA;NA;NA
2024-09-02;"Brugge";"Sciensano Foodborne Pathogens";1681.67;180586;37965.56;"SARS";10.48;234222829233.717;0.000276039652780046
2024-09-02;"Brussels-North";"Sciensano Foodborne Pathogens";11179.17;1080145;134863.09;"SARS";72.825;1808919480810.45;0.000539992076408749
2024-09-02;"Brussels-South";"Sciensano Foodborne Pathogens";1971;249307;171339.05;"SARS";126.315;2396725627439.26;0.000737222483724522
2024-09-02;"Dendermonde";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";598.71;69500;55367.37;"SARS";28.195;582928176690.647;0.000509234951922044
2024-09-02;"Genk";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";2023.29;68582;12343.5;"SARS";12.12;858147320288.122;0.000981893304168186
2024-09-02;"Gent";"Sciensano Foodborne Pathogens";1586.38;220130;50176.31;"SARS";15.16;262203470312.997;0.000302134612927894
2024-09-02;"Grimbergen";"Sciensano Foodborne Pathogens";821.38;107643;63084.84;"SARS";32.99;604159888520.387;0.000522946558951406
2024-09-02;"Harelbeke";"Sciensano Foodborne Pathogens";978.17;107894;66402.94;"SARS";67.24;1463039297087.88;0.00101260576715429
2024-09-02;"Hasselt";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";1474.13;69586;37510.61;"SARS";34.065;1731942808610.93;0.000908143056058006
2024-09-02;"Leuven";"Sciensano Foodborne Pathogens";1036.63;120939;66041.89;"SARS";34.35;706635388088.21;0.00052012442405873
2024-09-02;"Liège Oupeye";"Sciensano Foodborne Pathogens";5658.75;253780;41441.4;"SARS";13.11;701579754117.74;0.000316350316350316
2024-09-02;"Liège Sclessin";"Sciensano Foodborne Pathogens";1312.5;142240;28092.79;"SARS";15.665;346911909448.819;0.000557616384844652
2024-09-02;"Marche-en-Famenne";"Sciensano Foodborne Pathogens";177.25;8633;34349.03;"SARS";52.465;2585267114560.41;0.00152740848868221
2024-09-02;"Marchienne-au-Pont";"Sciensano Foodborne Pathogens";715;52017;46652.42;"SARS";34.24;1129550723801.83;0.000733938346606671
2024-09-02;"Mechelen-Noord";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";908.5;98143;34236.9;"SARS";11.815;262488674688.974;0.000345095496379637
2024-09-02;"Montignies-sur-Sambre";"Sciensano Foodborne Pathogens";1536;123576;71387.05;"SARS";35.86;1069740920567.1;0.000502332005594852
2024-09-02;"Mornimont";"Sciensano Foodborne Pathogens";275.42;34139;51807.76;"SARS";15.05;291401927414.394;0.000290497022067737
2024-09-02;"Namur-Brumagne";"Sciensano Foodborne Pathogens";773.79;82175;83281.77;"SARS";33.615;759674865104.959;0.000403629749944075
2024-09-02;"Oostende";"Sciensano Foodborne Pathogens";1510.71;135491;29245.94;"SARS";12.08;323257665232.377;0.000413048785575023
2024-09-02;"Roselies";"Sciensano Foodborne Pathogens";1232;96890;50175.63;"SARS";13.23;403740984621.736;0.000263673819342179
2024-09-02;"Tessenderlo";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";921.21;45125;16777.8;"SARS";11.505;563688654182.826;0.000685727568572757
2024-09-02;"Vallée du Hain (l'Orchis)";"Sciensano Foodborne Pathogens";422.63;57826;100488.58;"SARS";43.095;755919061321.897;0.000428854701698442
2024-09-02;"Wasmuel";"Sciensano Foodborne Pathogens";708.19;157343;21703.5;"SARS";8.36;90306681326.7829;0.000385191328587555
2024-09-09;"Aalst";"Sciensano Foodborne Pathogens";2446.96;98357;53505.07;"SARS";31.26;1866473428835.77;0.000584243698774714
2024-09-09;"Antwerpen-Noord";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";NA;73974;10966.5;"SARS";14.255;NA;0.00129986777914558
2024-09-09;"Antwerpen-Zuid";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";3842.17;178677;79364.41;"SARS";35.86;1850671988448.43;0.000451839810816964
2024-09-09;"Arlon";"Sciensano Foodborne Pathogens";409.75;19440;26541.5;"SARS";14.295;723132870370.37;0.00053859050920257
2024-09-09;"Basse Wavre (Dyle)";"Sciensano Foodborne Pathogens";742.5;78290;504.16;"SARS";NA;NA;NA
2024-09-09;"Brugge";"Sciensano Foodborne Pathogens";7177.08;180586;25325.72;"SARS";NA;NA;NA
2024-09-09;"Brussels-North";"Sciensano Foodborne Pathogens";32141.88;1080145;34017.43;"SARS";14.095;1006619959949.82;0.00041434641006096
2024-09-09;"Brussels-South";"Sciensano Foodborne Pathogens";7880;249307;75048.22;"SARS";37.23;2824203732747.18;0.00049608105295502
2024-09-09;"Dendermonde";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";2703.04;69500;38517.19;"SARS";11.405;1064569940719.42;0.000296101558810495
2024-09-09;"Deurne";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";3182.92;215592;40824.9;"SARS";17.415;617060578871.201;0.000426577897312669
2024-09-09;"Genk";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";1779.83;68582;10420.2;"SARS";11.355;707239904931.323;0.00108971037024241
2024-09-09;"Gent";"Sciensano Foodborne Pathogens";4897.63;220130;32755.42;"SARS";9.69;517418267750.874;0.000295828904040919
2024-09-09;"Grimbergen";"Sciensano Foodborne Pathogens";3154;107643;39866.54;"SARS";17.25;1213043114740.39;0.000432693682471566
2024-09-09;"Harelbeke";"Sciensano Foodborne Pathogens";3339.83;107894;23547.11;"SARS";20.47;1520744139989.25;0.000869321118387777
2024-09-09;"Hasselt";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";1964.63;69586;837.99;"SARS";NA;NA;NA
2024-09-09;"Leuven";"Sciensano Foodborne Pathogens";2686.79;120939;37380.45;"SARS";10.24;545982280653.883;0.000273939987346327
2024-09-09;"Liedekerke";"Sciensano Foodborne Pathogens";3119.83;101075;26237.65;"SARS";14.69;1088228805144.69;0.000559882458985465
2024-09-09;"Liège Oupeye";"Sciensano Foodborne Pathogens";8157.08;253780;10857.73;"SARS";NA;NA;NA
2024-09-09;"Liège Sclessin";"Sciensano Foodborne Pathogens";4592.92;142240;23698.9;"SARS";16.105;1248070471316.09;0.000679567406082139
2024-09-09;"Marche-en-Famenne";"Sciensano Foodborne Pathogens";183.04;8633;13998.01;"SARS";16.47;838087005675.895;0.00117659581611958
2024-09-09;"Marchienne-au-Pont";"Sciensano Foodborne Pathogens";1522;52017;6914;"SARS";NA;NA;NA
2024-09-09;"Mechelen-Noord";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";2461.08;98143;8461.8;"SARS";NA;NA;NA
2024-09-09;"Montignies-sur-Sambre";"Sciensano Foodborne Pathogens";2655;123576;474.19;"SARS";NA;NA;NA
2024-09-09;"Mornimont";"Sciensano Foodborne Pathogens";892.08;34139;23693.54;"SARS";9.34;585748419110.109;0.000394200275686959
2024-09-09;"Namur-Brumagne";"Sciensano Foodborne Pathogens";1292.33;82175;29314.47;"SARS";14.68;554078132765.44;0.000500776578938661
2024-09-09;"Oostende";"Sciensano Foodborne Pathogens";2952.33;135491;40806.71;"SARS";21.33;1115466542870.01;0.000522708152654306
2024-09-09;"Roselies";"Sciensano Foodborne Pathogens";1928;96890;15411.64;"SARS";9.205;439605490762.721;0.000597275825285304
2024-09-09;"Tessenderlo";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";1089.83;45125;2700;"SARS";NA;NA;NA
2024-09-09;"Vallée du Hain (l'Orchis)";"Sciensano Foodborne Pathogens";1648;57826;23303.5;"SARS";NA;NA;NA
2024-09-09;"Wasmuel";"Sciensano Foodborne Pathogens";699.9;157343;25289.1;"SARS";11.8;125974260056.056;0.000466604189156593
